"","egg","Olim","temp","velocity"
"734",104,0.578269,7,0.04
"735",105,0.598472,7,0.04
"736",106,0.620602,7,0.04
"737",107,0.612991,7,0.04
"738",108,0.598345,7,0.04
"739",109,0.53269,7,0.04
"740",110,0.585684,7,0.04
"741",111,0.591852,7,0.04
"742",112,0.581468,7,0.04
"743",113,0.563558,7,0.04
"744",114,0.615425,7,0.04
"745",115,0.584049,7,0.04
"746",116,0.618707,7,0.04
"747",117,0.619695,7,0.04
"748",118,0.60039,7,0.04
"749",119,0.609333,7,0.04
"750",120,0.570799,7,0.04
"751",121,0.598492,7,0.04
"752",122,0.613939,7,0.04
"753",123,0.612401,7,0.04
"754",124,0.650892,7,0.04
"755",125,0.623924,7,0.04
"756",126,0.603605,7,0.04
"757",1,0.515951,7,0.05
"758",2,0.51493,7,0.05
"759",3,0.520642,7,0.05
"760",4,0.507814,7,0.05
"761",5,0.51363,7,0.05
"762",6,0.551713,7,0.05
"763",7,0.51817,7,0.05
"764",8,0.51706,7,0.05
"765",9,0.509816,7,0.05
"766",10,0.55547,7,0.05
"767",11,0.520925,7,0.05
"768",12,0.531297,7,0.05
"769",13,0.528539,7,0.05
"770",14,0.542334,7,0.05
"771",15,0.527077,7,0.05
"772",16,0.501601,7,0.05
"773",17,0.548285,7,0.05
"774",18,0.550743,7,0.05
"775",19,0.539549,7,0.05
"776",20,0.532938,7,0.05
"777",21,0.545759,7,0.05
"778",22,0.513025,7,0.05
"779",23,0.569863,7,0.05
"780",24,0.51715,7,0.05
"781",25,0.523395,7,0.05
"782",26,0.522375,7,0.05
"783",27,0.529489,7,0.05
"784",28,0.509328,7,0.05
"785",29,0.516868,7,0.05
"786",30,0.535,7,0.05
"787",31,0.543673,7,0.05
"788",32,0.496362,7,0.05
"789",33,0.544772,7,0.05
"790",34,0.524626,7,0.05
"791",35,0.522608,7,0.05
"792",36,0.51009,7,0.05
"793",37,0.539017,7,0.05
"794",38,0.513792,7,0.05
"795",39,0.50717,7,0.05
"796",40,0.572604,7,0.05
"797",41,0.537169,7,0.05
"798",42,0.516847,7,0.05
"799",43,0.517769,7,0.05
"800",44,0.500957,7,0.05
"801",45,0.530864,7,0.05
"802",46,0.53428,7,0.05
"803",47,0.564707,7,0.05
"804",48,0.517063,7,0.05
"805",49,0.534741,7,0.05
"806",50,0.563851,7,0.05
"807",51,0.548812,7,0.05
"808",52,0.536874,7,0.05
"809",53,0.556437,7,0.05
"810",54,0.543311,7,0.05
"811",55,0.535355,7,0.05
"812",56,0.534499,7,0.05
"813",57,0.548509,7,0.05
"814",58,0.554846,7,0.05
"815",59,0.557245,7,0.05
"816",60,0.532341,7,0.05
"817",61,0.533045,7,0.05
"818",62,0.576256,7,0.05
"819",63,0.508704,7,0.05
"820",64,0.581075,7,0.05
"821",65,0.570543,7,0.05
"822",66,0.51433,7,0.05
"823",67,0.556866,7,0.05
"824",68,0.568007,7,0.05
"825",69,0.576385,7,0.05
"826",70,0.53724,7,0.05
"827",71,0.538886,7,0.05
"828",72,0.558458,7,0.05
"829",73,0.581885,7,0.05
"830",74,0.580604,7,0.05
"831",75,0.570289,7,0.05
"832",76,0.591108,7,0.05
"833",77,0.539465,7,0.05
"834",78,0.533173,7,0.05
"835",79,0.585963,7,0.05
"836",80,0.562389,7,0.05
"837",81,0.546216,7,0.05
"838",82,0.513632,7,0.05
"839",83,0.541162,7,0.05
"840",84,0.540993,7,0.05
"841",85,0.581392,7,0.05
"842",86,0.547206,7,0.05
"843",87,0.593056,7,0.05
"844",88,0.596612,7,0.05
"845",89,0.588569,7,0.05
"846",90,0.549671,7,0.05
"847",91,0.564742,7,0.05
"848",92,0.547024,7,0.05
"849",93,0.546016,7,0.05
"850",94,0.543739,7,0.05
"851",95,0.539289,7,0.05
"852",96,0.528541,7,0.05
"853",97,0.570179,7,0.05
"854",98,0.623617,7,0.05
"855",99,0.602921,7,0.05
"856",100,0.608067,7,0.05
"857",101,0.541248,7,0.05
"858",102,0.574311,7,0.05
"859",103,0.506811,7,0.05
"860",104,0.556943,7,0.05
"861",105,0.576692,7,0.05
"862",106,0.597334,7,0.05
