"","Tube","SampleDate","Location","rep","length","weight"
"616",16,"Early","Bottom",20,19.97,0.181
"617",16,"Early","Top",1,17.96,0.179
"618",16,"Early","Top",15,16.6,0.176
"619",16,"Early","Top",9,16.79,0.176
"620",16,"Early","Top",16,17.26,0.176
"621",16,"Early","Top",13,16.87,0.173
"622",16,"Early","Bottom",16,20.64,0.144
"623",16,"Early","Bottom",7,20.83,0.141
"624",16,"Early","Bottom",17,20,0.14
"625",16,"Early","Bottom",19,21.05,0.138
"626",16,"Early","Bottom",10,19.86,0.137
"627",16,"Early","Bottom",9,18.52,0.135
"628",16,"Early","Bottom",14,20.43,0.134
"629",16,"Early","Bottom",5,19.63,0.133
"630",16,"Early","Bottom",3,20.51,0.133
"631",16,"Early","Bottom",1,19.32,0.132
"632",16,"Early","Bottom",13,18.13,0.131
"633",16,"Early","Top",20,18.38,0.13
"634",16,"Early","Top",18,18.48,0.13
"635",16,"Early","Top",17,18.7,0.129
"636",16,"Early","Top",8,17.89,0.127
"637",16,"Early","Top",7,20.8,0.126
"638",16,"Early","Top",11,18.41,0.124
"639",16,"Early","Top",6,19.33,0.122
"640",16,"Early","Top",19,17.35,0.113
"641",17,"Early","Bottom",1,23.78,0.217
"642",17,"Early","Bottom",4,22.31,0.211
"643",17,"Early","Bottom",5,22.69,0.21
"644",17,"Early","Bottom",15,22.68,0.208
"645",17,"Early","Top",1,22.42,0.207
"646",17,"Early","Bottom",3,22.71,0.207
